Aguerd,Nayef,Rennes
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,59
NON_PEN_XG,0.07,79
TOTAL_SHOTS,0.75,83
ASSISTS,0.03,58
XA,0.01,30
NON_PEN_XG+XA,0.07,64
SHOT_CREATIONS,0.28,9
PASSES_ATTEMPTED,72.46,93
PASS_COMPLETION_PERCENTAGE,91.6,90
PROGRESSIVE_PASSES,3.24,71
PROGRESSIVE CARRIES,2.71,52
DRIBBLES_COMPLETED,0.23,56
TOUCHES_IN_AREA,1.05,76
PROGRESSIVE_PASSES_RECIEVED,0.10,31
PRESSURES,7.18,25
TACKLES,1.20,27
INTERCEPTIONS,1.48,30
BLOCKS,1.25,11
CLEARANCES,5.70,72
AERIAL_DUELS_WON,3.71,88
