Meling,Birger,Rennes
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,46
NON_PEN_XG,0.02,30
TOTAL_SHOTS,0.38,25
ASSISTS,0.09,58
XA,0.09,58
NON_PEN_XG+XA,0.11,44
SHOT_CREATIONS,1.29,27
PASSES_ATTEMPTED,52.37,51
PASS_COMPLETION_PERCENTAGE,83.4,84
PROGRESSIVE_PASSES,4.02,66
PROGRESSIVE CARRIES,5.06,61
DRIBBLES_COMPLETED,0.57,33
TOUCHES_IN_AREA,1.41,53
PROGRESSIVE_PASSES_RECIEVED,2.01,48
PRESSURES,13.86,67
TACKLES,2.36,68
INTERCEPTIONS,1.76,63
BLOCKS,2.42,87
CLEARANCES,2.51,58
AERIAL_DUELS_WON,0.69,20
