Sulemana,Kamaldeen,Rennes
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.37,84
NON_PEN_XG,0.24,64
TOTAL_SHOTS,2.30,66
ASSISTS,0.18,52
XA,0.12,21
NON_PEN_XG+XA,0.36,42
SHOT_CREATIONS,3.68,68
PASSES_ATTEMPTED,31.66,23
PASS_COMPLETION_PERCENTAGE,79.4,71
PROGRESSIVE_PASSES,3.13,44
PROGRESSIVE CARRIES,8.47,87
DRIBBLES_COMPLETED,4.23,99
TOUCHES_IN_AREA,5.15,76
PROGRESSIVE_PASSES_RECIEVED,4.97,25
PRESSURES,16.01,51
TACKLES,2.21,93
INTERCEPTIONS,0.74,32
BLOCKS,0.64,8
CLEARANCES,0.28,18
AERIAL_DUELS_WON,0.64,49
