Truffert,Adrien,Rennes
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,80
NON_PEN_XG,0.09,87
TOTAL_SHOTS,1.08,88
ASSISTS,0.05,28
XA,0.08,51
NON_PEN_XG+XA,0.17,73
SHOT_CREATIONS,1.44,38
PASSES_ATTEMPTED,61.54,81
PASS_COMPLETION_PERCENTAGE,83.7,85
PROGRESSIVE_PASSES,3.91,63
PROGRESSIVE CARRIES,7.51,94
DRIBBLES_COMPLETED,0.90,57
TOUCHES_IN_AREA,2.02,76
PROGRESSIVE_PASSES_RECIEVED,3.28,84
PRESSURES,14.66,74
TACKLES,1.75,31
INTERCEPTIONS,0.99,5
BLOCKS,2.52,90
CLEARANCES,2.47,54
AERIAL_DUELS_WON,0.76,24
