Maouassa,Faitout,Rennes
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.06,72
TOTAL_SHOTS,2.03,99
ASSISTS,0.00,8
XA,0.03,9
NON_PEN_XG+XA,0.09,28
SHOT_CREATIONS,0.87,6
PASSES_ATTEMPTED,68.23,89
PASS_COMPLETION_PERCENTAGE,78.3,58
PROGRESSIVE_PASSES,5.08,87
PROGRESSIVE CARRIES,5.37,67
DRIBBLES_COMPLETED,2.32,97
TOUCHES_IN_AREA,0.73,18
PROGRESSIVE_PASSES_RECIEVED,1.02,11
PRESSURES,11.47,30
TACKLES,1.60,21
INTERCEPTIONS,1.16,16
BLOCKS,1.16,3
CLEARANCES,2.76,71
AERIAL_DUELS_WON,1.16,48
