Traoré,Hamari,Rennes
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,42
NON_PEN_XG,0.05,69
TOTAL_SHOTS,0.85,76
ASSISTS,0.11,65
XA,0.11,76
NON_PEN_XG+XA,0.16,72
SHOT_CREATIONS,1.81,59
PASSES_ATTEMPTED,69.84,90
PASS_COMPLETION_PERCENTAGE,83.2,83
PROGRESSIVE_PASSES,5.99,95
PROGRESSIVE CARRIES,6.34,84
DRIBBLES_COMPLETED,0.66,41
TOUCHES_IN_AREA,1.84,70
PROGRESSIVE_PASSES_RECIEVED,2.83,74
PRESSURES,11.23,27
TACKLES,2.22,62
INTERCEPTIONS,1.92,75
BLOCKS,1.62,30
CLEARANCES,2.25,44
AERIAL_DUELS_WON,1.26,56
