Hernández,Theo,Milan
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,87
NON_PEN_XG,0.08,85
TOTAL_SHOTS,1.18,91
ASSISTS,0.17,85
XA,0.17,90
NON_PEN_XG+XA,0.25,89
SHOT_CREATIONS,2.25,80
PASSES_ATTEMPTED,56.70,67
PASS_COMPLETION_PERCENTAGE,81.3,74
PROGRESSIVE_PASSES,4.16,69
PROGRESSIVE CARRIES,7.98,95
DRIBBLES_COMPLETED,2.01,95
TOUCHES_IN_AREA,2.86,91
PROGRESSIVE_PASSES_RECIEVED,3.11,81
PRESSURES,11.78,37
TACKLES,1.66,26
INTERCEPTIONS,1.57,46
BLOCKS,1.69,37
CLEARANCES,1.52,16
AERIAL_DUELS_WON,1.22,51
