Tomori,Fikayo,Milan
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,60
NON_PEN_XG,0.04,43
TOTAL_SHOTS,0.33,22
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.04,22
SHOT_CREATIONS,0.36,23
PASSES_ATTEMPTED,55.07,57
PASS_COMPLETION_PERCENTAGE,89.3,74
PROGRESSIVE_PASSES,1.88,19
PROGRESSIVE CARRIES,1.50,20
DRIBBLES_COMPLETED,0.25,62
TOUCHES_IN_AREA,0.51,17
PROGRESSIVE_PASSES_RECIEVED,0.18,57
PRESSURES,12.48,88
TACKLES,2.27,87
INTERCEPTIONS,1.96,68
BLOCKS,2.19,89
CLEARANCES,4.38,31
AERIAL_DUELS_WON,1.88,18
