Romagnoli,Alessio,Milan
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,45
NON_PEN_XG,0.05,58
TOTAL_SHOTS,0.43,40
ASSISTS,0.04,71
XA,0.01,30
NON_PEN_XG+XA,0.06,44
SHOT_CREATIONS,0.46,40
PASSES_ATTEMPTED,52.53,50
PASS_COMPLETION_PERCENTAGE,89.0,71
PROGRESSIVE_PASSES,2.88,59
PROGRESSIVE CARRIES,1.64,25
DRIBBLES_COMPLETED,0.04,5
TOUCHES_IN_AREA,0.78,49
PROGRESSIVE_PASSES_RECIEVED,0.18,57
PRESSURES,8.51,46
TACKLES,1.60,60
INTERCEPTIONS,1.32,18
BLOCKS,1.78,62
CLEARANCES,4.06,24
AERIAL_DUELS_WON,2.67,54
