Calabria,Davide,Milan
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,82
NON_PEN_XG,0.09,88
TOTAL_SHOTS,1.19,93
ASSISTS,0.06,43
XA,0.05,27
NON_PEN_XG+XA,0.14,64
SHOT_CREATIONS,1.29,26
PASSES_ATTEMPTED,54.52,60
PASS_COMPLETION_PERCENTAGE,76.5,40
PROGRESSIVE_PASSES,4.77,83
PROGRESSIVE CARRIES,4.55,50
DRIBBLES_COMPLETED,0.53,28
TOUCHES_IN_AREA,1.26,48
PROGRESSIVE_PASSES_RECIEVED,1.44,26
PRESSURES,16.74,88
TACKLES,2.58,78
INTERCEPTIONS,1.38,31
BLOCKS,2.48,89
CLEARANCES,2.64,64
AERIAL_DUELS_WON,0.85,29
