Messias,Junior,Milan
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.32,98
NON_PEN_XG,0.22,98
TOTAL_SHOTS,2.63,99
ASSISTS,0.14,81
XA,0.10,73
NON_PEN_XG+XA,0.32,95
SHOT_CREATIONS,3.55,97
PASSES_ATTEMPTED,36.13,13
PASS_COMPLETION_PERCENTAGE,73.5,5
PROGRESSIVE_PASSES,3.16,31
PROGRESSIVE CARRIES,8.13,97
DRIBBLES_COMPLETED,2.63,99
TOUCHES_IN_AREA,3.19,96
PROGRESSIVE_PASSES_RECIEVED,5.36,96
PRESSURES,15.86,27
TACKLES,1.81,29
INTERCEPTIONS,1.46,38
BLOCKS,1.38,35
CLEARANCES,1.24,37
AERIAL_DUELS_WON,1.03,46
