Bakayoko,Tiemoué,Milan
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,74
NON_PEN_XG,0.07,55
TOTAL_SHOTS,0.84,42
ASSISTS,0.05,40
XA,0.05,40
NON_PEN_XG+XA,0.12,42
SHOT_CREATIONS,1.63,40
PASSES_ATTEMPTED,54.55,61
PASS_COMPLETION_PERCENTAGE,88.4,85
PROGRESSIVE_PASSES,3.21,34
PROGRESSIVE CARRIES,2.37,19
DRIBBLES_COMPLETED,0.79,51
TOUCHES_IN_AREA,0.99,45
PROGRESSIVE_PASSES_RECIEVED,1.18,28
PRESSURES,19.70,65
TACKLES,3.85,98
INTERCEPTIONS,1.68,56
BLOCKS,1.53,49
CLEARANCES,1.73,66
AERIAL_DUELS_WON,2.67,93
