"b'Ibrahimovic, Zlatan'",Milan
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.55,85
NON_PEN_XG,0.59,96
TOTAL_SHOTS,4.17,96
ASSISTS,0.10,38
XA,0.10,41
NON_PEN_XG+XA,0.69,89
SHOT_CREATIONS,3.08,79
PASSES_ATTEMPTED,32.65,86
PASS_COMPLETION_PERCENTAGE,72.9,51
PROGRESSIVE_PASSES,3.57,93
PROGRESSIVE CARRIES,3.47,66
DRIBBLES_COMPLETED,0.50,15
TOUCHES_IN_AREA,7.79,96
PROGRESSIVE_PASSES_RECIEVED,8.93,80
PRESSURES,7.49,2
TACKLES,0.35,11
INTERCEPTIONS,0.45,60
BLOCKS,0.35,4
CLEARANCES,1.49,96
AERIAL_DUELS_WON,3.82,85
