Kessié,Franck,Milan
CB,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,46
NON_PEN_XG,0.10,78
TOTAL_SHOTS,1.04,60
ASSISTS,0.07,55
XA,0.08,60
NON_PEN_XG+XA,0.18,72
SHOT_CREATIONS,2.42,76
PASSES_ATTEMPTED,56.53,66
PASS_COMPLETION_PERCENTAGE,88.5,86
PROGRESSIVE_PASSES,3.65,45
PROGRESSIVE CARRIES,4.52,64
DRIBBLES_COMPLETED,1.08,73
TOUCHES_IN_AREA,2.57,90
PROGRESSIVE_PASSES_RECIEVED,2.94,82
PRESSURES,15.77,26
TACKLES,2.00,39
INTERCEPTIONS,1.72,61
BLOCKS,1.93,79
CLEARANCES,1.62,56
AERIAL_DUELS_WON,1.37,57
