"b'Tatarusanu, Ciprian'",Milan
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.06,45
GOALS_CONCEDED,1.33,51
SAVE_PERCENTAGE,66.7,41
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.26,14
PENALTY_SAVE_PERCENTAGE,33.3,83
CLEAN_SHEET_PERCENTAGE,22.2,41
TOUCHES,35.67,52
LAUNCH_PERCENTAGE,35.4,28
GOAL_KICKS,7.11,39
AVG_GOAL_KICK_DISTANCE,37.3,21
CROSSES_STOPPED_PERCENTAGE,5.6,18
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.56,36
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,12.5,7
