Saelemaekers,Alexis,Milan
RAM,AM,RW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,9
NON_PEN_XG,0.11,11
TOTAL_SHOTS,1.33,11
ASSISTS,0.18,49
XA,0.13,26
NON_PEN_XG+XA,0.23,9
SHOT_CREATIONS,3.03,41
PASSES_ATTEMPTED,40.27,58
PASS_COMPLETION_PERCENTAGE,81.0,82
PROGRESSIVE_PASSES,3.27,48
PROGRESSIVE CARRIES,5.51,39
DRIBBLES_COMPLETED,1.88,61
TOUCHES_IN_AREA,2.39,11
PROGRESSIVE_PASSES_RECIEVED,5.45,32
PRESSURES,22.42,95
TACKLES,2.09,89
INTERCEPTIONS,1.60,95
BLOCKS,1.85,92
CLEARANCES,0.36,30
AERIAL_DUELS_WON,0.57,43
