Tonali,Sandro,Milan
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,65
NON_PEN_XG,0.07,52
TOTAL_SHOTS,1.19,71
ASSISTS,0.04,31
XA,0.10,70
NON_PEN_XG+XA,0.17,66
SHOT_CREATIONS,1.96,58
PASSES_ATTEMPTED,52.86,56
PASS_COMPLETION_PERCENTAGE,81.8,37
PROGRESSIVE_PASSES,3.39,41
PROGRESSIVE CARRIES,4.35,62
DRIBBLES_COMPLETED,1.08,73
TOUCHES_IN_AREA,0.89,37
PROGRESSIVE_PASSES_RECIEVED,1.16,27
PRESSURES,19.53,63
TACKLES,2.04,42
INTERCEPTIONS,1.66,55
BLOCKS,1.66,59
CLEARANCES,1.19,32
AERIAL_DUELS_WON,0.58,16
