James,Reece,Chelsea
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,93
NON_PEN_XG,0.10,92
TOTAL_SHOTS,1.54,96
ASSISTS,0.15,80
XA,0.18,92
NON_PEN_XG+XA,0.27,93
SHOT_CREATIONS,3.48,97
PASSES_ATTEMPTED,71.55,92
PASS_COMPLETION_PERCENTAGE,85.2,90
PROGRESSIVE_PASSES,4.24,72
PROGRESSIVE CARRIES,6.27,82
DRIBBLES_COMPLETED,1.61,90
TOUCHES_IN_AREA,2.94,92
PROGRESSIVE_PASSES_RECIEVED,4.15,94
PRESSURES,14.36,72
TACKLES,2.33,67
INTERCEPTIONS,1.67,57
BLOCKS,1.97,58
CLEARANCES,1.82,24
AERIAL_DUELS_WON,1.30,59
