Werner,Timo,Chelsea
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,22
NON_PEN_XG,0.50,85
TOTAL_SHOTS,3.10,82
ASSISTS,0.28,89
XA,0.22,89
NON_PEN_XG+XA,0.71,92
SHOT_CREATIONS,2.31,56
PASSES_ATTEMPTED,24.33,57
PASS_COMPLETION_PERCENTAGE,74.3,61
PROGRESSIVE_PASSES,1.48,52
PROGRESSIVE CARRIES,4.96,86
DRIBBLES_COMPLETED,0.86,36
TOUCHES_IN_AREA,7.95,96
PROGRESSIVE_PASSES_RECIEVED,8.71,74
PRESSURES,16.59,72
TACKLES,0.76,55
INTERCEPTIONS,0.34,42
BLOCKS,0.72,47
CLEARANCES,0.24,14
AERIAL_DUELS_WON,0.62,13
