Hudson-Odoi,Callum,Chelsea
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,28
NON_PEN_XG,0.16,29
TOTAL_SHOTS,1.79,37
ASSISTS,0.24,71
XA,0.29,91
NON_PEN_XG+XA,0.45,66
SHOT_CREATIONS,4.84,91
PASSES_ATTEMPTED,49.38,84
PASS_COMPLETION_PERCENTAGE,82.7,89
PROGRESSIVE_PASSES,4.41,79
PROGRESSIVE CARRIES,11.38,98
DRIBBLES_COMPLETED,1.79,57
TOUCHES_IN_AREA,5.81,82
PROGRESSIVE_PASSES_RECIEVED,7.94,82
PRESSURES,14.77,39
TACKLES,1.84,79
INTERCEPTIONS,0.92,53
BLOCKS,1.65,86
CLEARANCES,0.73,75
AERIAL_DUELS_WON,0.53,37
