Chalobah,Trevoh,Chelsea
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,99
NON_PEN_XG,0.10,96
TOTAL_SHOTS,0.66,76
ASSISTS,0.07,92
XA,0.03,83
NON_PEN_XG+XA,0.12,96
SHOT_CREATIONS,0.70,71
PASSES_ATTEMPTED,56.59,60
PASS_COMPLETION_PERCENTAGE,88.4,66
PROGRESSIVE_PASSES,2.65,52
PROGRESSIVE CARRIES,3.68,76
DRIBBLES_COMPLETED,0.85,99
TOUCHES_IN_AREA,0.92,64
PROGRESSIVE_PASSES_RECIEVED,0.62,94
PRESSURES,8.34,45
TACKLES,1.95,76
INTERCEPTIONS,2.39,87
BLOCKS,1.07,4
CLEARANCES,4.04,24
AERIAL_DUELS_WON,1.80,15
