Azpilicueta,César,Chelsea
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,34
NON_PEN_XG,0.03,33
TOTAL_SHOTS,0.39,34
ASSISTS,0.10,98
XA,0.10,99
NON_PEN_XG+XA,0.13,97
SHOT_CREATIONS,1.67,99
PASSES_ATTEMPTED,75.82,96
PASS_COMPLETION_PERCENTAGE,85.7,42
PROGRESSIVE_PASSES,4.57,93
PROGRESSIVE CARRIES,4.64,87
DRIBBLES_COMPLETED,0.36,78
TOUCHES_IN_AREA,1.81,99
PROGRESSIVE_PASSES_RECIEVED,1.76,99
PRESSURES,14.15,96
TACKLES,2.22,86
INTERCEPTIONS,1.59,42
BLOCKS,1.96,78
CLEARANCES,3.67,12
AERIAL_DUELS_WON,2.39,44
