"b'Kovacic, Mateo'",Chelsea
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,36
NON_PEN_XG,0.08,65
TOTAL_SHOTS,1.17,69
ASSISTS,0.18,89
XA,0.12,84
NON_PEN_XG+XA,0.20,78
SHOT_CREATIONS,2.90,88
PASSES_ATTEMPTED,86.00,97
PASS_COMPLETION_PERCENTAGE,91.2,96
PROGRESSIVE_PASSES,8.00,98
PROGRESSIVE CARRIES,10.27,99
DRIBBLES_COMPLETED,2.16,98
TOUCHES_IN_AREA,0.77,31
PROGRESSIVE_PASSES_RECIEVED,1.58,46
PRESSURES,18.52,51
TACKLES,3.01,85
INTERCEPTIONS,1.10,18
BLOCKS,0.73,1
CLEARANCES,0.77,12
AERIAL_DUELS_WON,0.55,15
