Mount,Mason,Chelsea
FW,AM,CM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.30,73
NON_PEN_XG,0.27,78
TOTAL_SHOTS,2.50,71
ASSISTS,0.20,58
XA,0.30,91
NON_PEN_XG+XA,0.57,87
SHOT_CREATIONS,4.95,92
PASSES_ATTEMPTED,52.33,91
PASS_COMPLETION_PERCENTAGE,80.1,76
PROGRESSIVE_PASSES,5.20,89
PROGRESSIVE CARRIES,8.08,83
DRIBBLES_COMPLETED,1.46,41
TOUCHES_IN_AREA,5.38,79
PROGRESSIVE_PASSES_RECIEVED,7.70,78
PRESSURES,21.48,89
TACKLES,1.89,81
INTERCEPTIONS,0.91,50
BLOCKS,1.19,53
CLEARANCES,0.40,34
AERIAL_DUELS_WON,0.50,34
