Kanté,N'Golo,Chelsea
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,70
NON_PEN_XG,0.07,52
TOTAL_SHOTS,0.74,36
ASSISTS,0.04,36
XA,0.11,80
NON_PEN_XG+XA,0.18,72
SHOT_CREATIONS,2.89,87
PASSES_ATTEMPTED,57.89,70
PASS_COMPLETION_PERCENTAGE,85.3,61
PROGRESSIVE_PASSES,5.25,80
PROGRESSIVE CARRIES,6.08,87
DRIBBLES_COMPLETED,1.97,97
TOUCHES_IN_AREA,1.40,65
PROGRESSIVE_PASSES_RECIEVED,2.63,75
PRESSURES,19.82,67
TACKLES,3.37,93
INTERCEPTIONS,2.36,92
BLOCKS,2.36,95
CLEARANCES,1.31,41
AERIAL_DUELS_WON,1.01,44
