Arrizabalaga,Kepa,Chelsea
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.24,97
GOALS_CONCEDED,0.91,91
SAVE_PERCENTAGE,76.5,92
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.34,92
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,60.0,99
TOUCHES,36.91,62
LAUNCH_PERCENTAGE,30.1,17
GOAL_KICKS,5.45,7
AVG_GOAL_KICK_DISTANCE,26.2,2
CROSSES_STOPPED_PERCENTAGE,6.9,44
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.27,93
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,20.8,99
