Christensen,Andreas,Chelsea
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,42
NON_PEN_XG,0.02,11
TOTAL_SHOTS,0.29,16
ASSISTS,0.03,66
XA,0.04,92
NON_PEN_XG+XA,0.06,48
SHOT_CREATIONS,0.67,67
PASSES_ATTEMPTED,72.77,94
PASS_COMPLETION_PERCENTAGE,92.3,93
PROGRESSIVE_PASSES,3.48,77
PROGRESSIVE CARRIES,4.60,86
DRIBBLES_COMPLETED,0.19,46
TOUCHES_IN_AREA,0.38,11
PROGRESSIVE_PASSES_RECIEVED,0.16,52
PRESSURES,8.04,38
TACKLES,1.09,17
INTERCEPTIONS,2.43,88
BLOCKS,1.53,38
CLEARANCES,5.20,57
AERIAL_DUELS_WON,3.16,72
