Lukaku,Romelu,Chelsea
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.44,71
NON_PEN_XG,0.46,80
TOTAL_SHOTS,2.64,64
ASSISTS,0.26,89
XA,0.24,94
NON_PEN_XG+XA,0.71,91
SHOT_CREATIONS,3.14,82
PASSES_ATTEMPTED,20.69,30
PASS_COMPLETION_PERCENTAGE,71.6,42
PROGRESSIVE_PASSES,1.79,67
PROGRESSIVE CARRIES,3.11,57
DRIBBLES_COMPLETED,1.15,63
TOUCHES_IN_AREA,7.23,91
PROGRESSIVE_PASSES_RECIEVED,10.61,95
PRESSURES,8.79,6
TACKLES,0.24,4
INTERCEPTIONS,0.12,1
BLOCKS,0.62,30
CLEARANCES,1.06,84
AERIAL_DUELS_WON,1.56,44
