Silva,Thiago,Chelsea
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,83
NON_PEN_XG,0.05,65
TOTAL_SHOTS,0.91,94
ASSISTS,0.03,65
XA,0.02,56
NON_PEN_XG+XA,0.07,61
SHOT_CREATIONS,0.88,85
PASSES_ATTEMPTED,76.62,97
PASS_COMPLETION_PERCENTAGE,93.0,96
PROGRESSIVE_PASSES,3.57,78
PROGRESSIVE CARRIES,7.00,98
DRIBBLES_COMPLETED,0.12,23
TOUCHES_IN_AREA,1.24,86
PROGRESSIVE_PASSES_RECIEVED,0.18,58
PRESSURES,5.00,2
TACKLES,0.94,11
INTERCEPTIONS,1.70,47
BLOCKS,1.51,35
CLEARANCES,4.75,45
AERIAL_DUELS_WON,2.79,59
