Palmieri,Emerson,Chelsea
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,88
NON_PEN_XG,0.04,60
TOTAL_SHOTS,0.62,54
ASSISTS,0.06,42
XA,0.09,61
NON_PEN_XG+XA,0.14,60
SHOT_CREATIONS,2.05,73
PASSES_ATTEMPTED,72.09,93
PASS_COMPLETION_PERCENTAGE,85.1,90
PROGRESSIVE_PASSES,2.92,24
PROGRESSIVE CARRIES,5.85,76
DRIBBLES_COMPLETED,1.00,65
TOUCHES_IN_AREA,1.43,54
PROGRESSIVE_PASSES_RECIEVED,2.05,50
PRESSURES,7.71,2
TACKLES,1.55,20
INTERCEPTIONS,1.74,61
BLOCKS,1.49,19
CLEARANCES,3.11,83
AERIAL_DUELS_WON,1.37,61
