Havertz,Kai,Chelsea
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.27,27
NON_PEN_XG,0.43,74
TOTAL_SHOTS,2.60,59
ASSISTS,0.15,61
XA,0.10,36
NON_PEN_XG+XA,0.53,63
SHOT_CREATIONS,2.41,59
PASSES_ATTEMPTED,37.80,93
PASS_COMPLETION_PERCENTAGE,83.8,98
PROGRESSIVE_PASSES,2.10,73
PROGRESSIVE CARRIES,5.46,87
DRIBBLES_COMPLETED,1.45,76
TOUCHES_IN_AREA,6.87,89
PROGRESSIVE_PASSES_RECIEVED,9.81,92
PRESSURES,15.96,66
TACKLES,1.18,86
INTERCEPTIONS,0.73,89
BLOCKS,1.68,97
CLEARANCES,1.45,95
AERIAL_DUELS_WON,2.37,64
