Chilwell,Ben,Chelsea
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,97
NON_PEN_XG,0.15,99
TOTAL_SHOTS,1.43,95
ASSISTS,0.10,63
XA,0.12,78
NON_PEN_XG+XA,0.27,92
SHOT_CREATIONS,2.31,83
PASSES_ATTEMPTED,58.41,75
PASS_COMPLETION_PERCENTAGE,78.0,56
PROGRESSIVE_PASSES,3.18,35
PROGRESSIVE CARRIES,5.14,63
DRIBBLES_COMPLETED,0.52,24
TOUCHES_IN_AREA,3.53,95
PROGRESSIVE_PASSES_RECIEVED,3.81,92
PRESSURES,14.59,74
TACKLES,1.82,38
INTERCEPTIONS,1.40,33
BLOCKS,2.20,77
CLEARANCES,2.41,52
AERIAL_DUELS_WON,1.26,56
