Pulisic,Christian,Chelsea
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.26,60
NON_PEN_XG,0.33,88
TOTAL_SHOTS,2.12,58
ASSISTS,0.22,62
XA,0.21,69
NON_PEN_XG+XA,0.54,81
SHOT_CREATIONS,3.45,60
PASSES_ATTEMPTED,35.53,35
PASS_COMPLETION_PERCENTAGE,81.9,87
PROGRESSIVE_PASSES,3.15,45
PROGRESSIVE CARRIES,7.94,82
DRIBBLES_COMPLETED,2.33,81
TOUCHES_IN_AREA,6.39,89
PROGRESSIVE_PASSES_RECIEVED,8.37,88
PRESSURES,18.04,67
TACKLES,0.95,22
INTERCEPTIONS,0.52,12
BLOCKS,1.34,64
CLEARANCES,0.52,49
AERIAL_DUELS_WON,1.08,77
