Marçal,Fernando,Wolves
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,55
TOTAL_SHOTS,0.50,39
ASSISTS,0.00,8
XA,0.01,1
NON_PEN_XG+XA,0.05,8
SHOT_CREATIONS,0.90,6
PASSES_ATTEMPTED,55.80,64
PASS_COMPLETION_PERCENTAGE,78.1,57
PROGRESSIVE_PASSES,3.40,44
PROGRESSIVE CARRIES,5.90,77
DRIBBLES_COMPLETED,0.40,13
TOUCHES_IN_AREA,0.60,12
PROGRESSIVE_PASSES_RECIEVED,2.10,52
PRESSURES,16.50,87
TACKLES,2.50,74
INTERCEPTIONS,2.20,87
BLOCKS,2.70,94
CLEARANCES,3.30,86
AERIAL_DUELS_WON,1.70,80
