Neves,Rúben,Wolves
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,69
NON_PEN_XG,0.07,64
TOTAL_SHOTS,1.84,95
ASSISTS,0.06,45
XA,0.08,64
NON_PEN_XG+XA,0.16,64
SHOT_CREATIONS,2.05,63
PASSES_ATTEMPTED,63.40,80
PASS_COMPLETION_PERCENTAGE,83.2,45
PROGRESSIVE_PASSES,4.58,69
PROGRESSIVE CARRIES,3.78,49
DRIBBLES_COMPLETED,0.49,25
TOUCHES_IN_AREA,0.78,31
PROGRESSIVE_PASSES_RECIEVED,0.98,18
PRESSURES,20.03,69
TACKLES,2.94,83
INTERCEPTIONS,1.64,53
BLOCKS,1.87,77
CLEARANCES,1.73,67
AERIAL_DUELS_WON,0.75,28
