Saïss,Romain,Wolves
LB,CB,CM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,89
NON_PEN_XG,0.14,99
TOTAL_SHOTS,0.96,96
ASSISTS,0.00,28
XA,0.01,33
NON_PEN_XG+XA,0.15,98
SHOT_CREATIONS,0.51,45
PASSES_ATTEMPTED,54.01,52
PASS_COMPLETION_PERCENTAGE,82.4,20
PROGRESSIVE_PASSES,4.01,86
PROGRESSIVE CARRIES,2.46,45
DRIBBLES_COMPLETED,0.17,38
TOUCHES_IN_AREA,1.30,88
PROGRESSIVE_PASSES_RECIEVED,0.28,77
PRESSURES,9.20,57
TACKLES,1.58,59
INTERCEPTIONS,1.84,61
BLOCKS,1.41,24
CLEARANCES,6.46,87
AERIAL_DUELS_WON,3.22,74
