Dendoncker,Leander,Wolves
RB,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,40
NON_PEN_XG,0.07,57
TOTAL_SHOTS,0.96,53
ASSISTS,0.04,34
XA,0.05,31
NON_PEN_XG+XA,0.12,41
SHOT_CREATIONS,1.37,28
PASSES_ATTEMPTED,44.08,31
PASS_COMPLETION_PERCENTAGE,88.2,83
PROGRESSIVE_PASSES,2.25,8
PROGRESSIVE CARRIES,2.04,9
DRIBBLES_COMPLETED,0.29,6
TOUCHES_IN_AREA,1.46,68
PROGRESSIVE_PASSES_RECIEVED,1.46,41
PRESSURES,18.86,55
TACKLES,1.79,27
INTERCEPTIONS,1.21,23
BLOCKS,2.50,97
CLEARANCES,3.08,97
AERIAL_DUELS_WON,2.71,94
