Trincão,Francisco,Wolves
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,49
NON_PEN_XG,0.34,88
TOTAL_SHOTS,2.45,70
ASSISTS,0.07,13
XA,0.10,7
NON_PEN_XG+XA,0.43,64
SHOT_CREATIONS,2.31,11
PASSES_ATTEMPTED,36.04,39
PASS_COMPLETION_PERCENTAGE,84.3,95
PROGRESSIVE_PASSES,2.38,22
PROGRESSIVE CARRIES,6.16,55
DRIBBLES_COMPLETED,2.52,87
TOUCHES_IN_AREA,4.20,57
PROGRESSIVE_PASSES_RECIEVED,7.35,72
PRESSURES,18.48,72
TACKLES,1.26,42
INTERCEPTIONS,0.98,59
BLOCKS,1.19,53
CLEARANCES,0.14,7
AERIAL_DUELS_WON,0.56,40
