Sá,José,Wolves
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.16,91
GOALS_CONCEDED,1.00,86
SAVE_PERCENTAGE,80.5,99
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.24,4
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,33.3,76
TOUCHES,32.76,33
LAUNCH_PERCENTAGE,48.9,70
GOAL_KICKS,7.29,48
AVG_GOAL_KICK_DISTANCE,46.2,52
CROSSES_STOPPED_PERCENTAGE,7.9,63
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.00,87
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.1,72
