Traoré,Adama,Wolves
RW,RM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,10
NON_PEN_XG,0.11,13
TOTAL_SHOTS,1.70,32
ASSISTS,0.06,9
XA,0.17,53
NON_PEN_XG+XA,0.28,23
SHOT_CREATIONS,3.95,78
PASSES_ATTEMPTED,28.74,12
PASS_COMPLETION_PERCENTAGE,70.6,21
PROGRESSIVE_PASSES,2.22,19
PROGRESSIVE CARRIES,9.66,93
DRIBBLES_COMPLETED,5.25,99
TOUCHES_IN_AREA,4.32,59
PROGRESSIVE_PASSES_RECIEVED,5.50,34
PRESSURES,11.42,11
TACKLES,0.96,22
INTERCEPTIONS,0.40,4
BLOCKS,0.83,15
CLEARANCES,0.34,26
AERIAL_DUELS_WON,2.10,96
