Jiménez,Raúl,Wolves
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,15
NON_PEN_XG,0.23,14
TOTAL_SHOTS,2.14,32
ASSISTS,0.14,54
XA,0.11,45
NON_PEN_XG+XA,0.33,13
SHOT_CREATIONS,2.55,66
PASSES_ATTEMPTED,28.87,76
PASS_COMPLETION_PERCENTAGE,69.5,31
PROGRESSIVE_PASSES,1.72,62
PROGRESSIVE CARRIES,3.51,68
DRIBBLES_COMPLETED,1.79,90
TOUCHES_IN_AREA,5.31,58
PROGRESSIVE_PASSES_RECIEVED,6.89,39
PRESSURES,13.85,43
TACKLES,1.10,80
INTERCEPTIONS,0.83,96
BLOCKS,0.83,63
CLEARANCES,0.69,55
AERIAL_DUELS_WON,2.76,71
