Aït Nouri,Rayan,Wolves
CB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.03,46
TOTAL_SHOTS,0.88,78
ASSISTS,0.10,60
XA,0.06,31
NON_PEN_XG+XA,0.09,33
SHOT_CREATIONS,1.95,67
PASSES_ATTEMPTED,51.90,48
PASS_COMPLETION_PERCENTAGE,79.0,61
PROGRESSIVE_PASSES,2.53,10
PROGRESSIVE CARRIES,6.63,86
DRIBBLES_COMPLETED,2.34,97
TOUCHES_IN_AREA,2.00,76
PROGRESSIVE_PASSES_RECIEVED,2.19,55
PRESSURES,18.52,94
TACKLES,3.22,92
INTERCEPTIONS,1.46,38
BLOCKS,1.61,29
CLEARANCES,2.24,43
AERIAL_DUELS_WON,0.93,33
