Hee-chan,Hwang,Wolves
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,59
NON_PEN_XG,0.26,75
TOTAL_SHOTS,1.26,9
ASSISTS,0.06,10
XA,0.13,25
NON_PEN_XG+XA,0.39,51
SHOT_CREATIONS,1.32,1
PASSES_ATTEMPTED,26.52,7
PASS_COMPLETION_PERCENTAGE,77.7,59
PROGRESSIVE_PASSES,1.07,1
PROGRESSIVE CARRIES,4.16,11
DRIBBLES_COMPLETED,1.57,48
TOUCHES_IN_AREA,4.16,56
PROGRESSIVE_PASSES_RECIEVED,6.42,51
PRESSURES,17.82,66
TACKLES,1.39,56
INTERCEPTIONS,0.88,50
BLOCKS,0.69,9
CLEARANCES,0.57,57
AERIAL_DUELS_WON,0.69,53
