Moutinho,João,Wolves
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,30
NON_PEN_XG,0.03,25
TOTAL_SHOTS,0.59,26
ASSISTS,0.03,24
XA,0.09,69
NON_PEN_XG+XA,0.12,45
SHOT_CREATIONS,2.73,84
PASSES_ATTEMPTED,64.01,81
PASS_COMPLETION_PERCENTAGE,85.2,59
PROGRESSIVE_PASSES,4.39,62
PROGRESSIVE CARRIES,5.32,80
DRIBBLES_COMPLETED,0.45,18
TOUCHES_IN_AREA,0.34,6
PROGRESSIVE_PASSES_RECIEVED,1.41,39
PRESSURES,18.96,56
TACKLES,2.03,41
INTERCEPTIONS,1.63,53
BLOCKS,1.32,30
CLEARANCES,0.93,20
AERIAL_DUELS_WON,0.65,19
