Roberts,Tyler,Leeds United
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,75
NON_PEN_XG,0.19,96
TOTAL_SHOTS,2.18,97
ASSISTS,0.15,83
XA,0.12,85
NON_PEN_XG+XA,0.31,95
SHOT_CREATIONS,2.38,74
PASSES_ATTEMPTED,30.53,3
PASS_COMPLETION_PERCENTAGE,73.2,5
PROGRESSIVE_PASSES,2.53,12
PROGRESSIVE CARRIES,4.57,65
DRIBBLES_COMPLETED,1.14,76
TOUCHES_IN_AREA,3.97,98
PROGRESSIVE_PASSES_RECIEVED,6.85,99
PRESSURES,15.44,23
TACKLES,1.39,9
INTERCEPTIONS,0.70,2
BLOCKS,1.19,18
CLEARANCES,0.99,23
AERIAL_DUELS_WON,1.24,53
