Dias Belloli,Raphael,Leeds United
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,67
NON_PEN_XG,0.22,56
TOTAL_SHOTS,2.57,76
ASSISTS,0.29,82
XA,0.28,88
NON_PEN_XG+XA,0.50,77
SHOT_CREATIONS,4.11,82
PASSES_ATTEMPTED,40.56,58
PASS_COMPLETION_PERCENTAGE,64.9,5
PROGRESSIVE_PASSES,4.92,85
PROGRESSIVE CARRIES,5.96,50
DRIBBLES_COMPLETED,2.34,82
TOUCHES_IN_AREA,4.57,65
PROGRESSIVE_PASSES_RECIEVED,6.02,43
PRESSURES,15.19,41
TACKLES,1.62,69
INTERCEPTIONS,1.36,86
BLOCKS,1.53,78
CLEARANCES,1.16,92
AERIAL_DUELS_WON,0.75,58
