Forshaw,Adam,Leeds United
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,15
TOTAL_SHOTS,0.97,54
ASSISTS,0.00,11
XA,0.07,52
NON_PEN_XG+XA,0.10,28
SHOT_CREATIONS,2.07,63
PASSES_ATTEMPTED,43.13,29
PASS_COMPLETION_PERCENTAGE,85.9,67
PROGRESSIVE_PASSES,3.18,32
PROGRESSIVE CARRIES,2.63,22
DRIBBLES_COMPLETED,0.41,15
TOUCHES_IN_AREA,0.55,16
PROGRESSIVE_PASSES_RECIEVED,2.21,67
PRESSURES,22.26,84
TACKLES,2.63,73
INTERCEPTIONS,1.66,55
BLOCKS,0.69,1
CLEARANCES,1.52,50
AERIAL_DUELS_WON,0.69,23
