Llorente,Diego,Leeds United
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,79
NON_PEN_XG,0.04,50
TOTAL_SHOTS,0.49,50
ASSISTS,0.00,28
XA,0.03,79
NON_PEN_XG+XA,0.07,61
SHOT_CREATIONS,0.45,37
PASSES_ATTEMPTED,50.67,45
PASS_COMPLETION_PERCENTAGE,83.7,29
PROGRESSIVE_PASSES,2.20,32
PROGRESSIVE CARRIES,2.36,44
DRIBBLES_COMPLETED,0.41,82
TOUCHES_IN_AREA,0.57,24
PROGRESSIVE_PASSES_RECIEVED,0.04,11
PRESSURES,16.39,99
TACKLES,2.08,80
INTERCEPTIONS,2.61,93
BLOCKS,2.36,95
CLEARANCES,4.65,40
AERIAL_DUELS_WON,2.49,47
