Shackleton,Jamie,Leeds United
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,7
TOTAL_SHOTS,0.29,19
ASSISTS,0.00,8
XA,0.00,1
NON_PEN_XG+XA,0.02,1
SHOT_CREATIONS,0.98,9
PASSES_ATTEMPTED,48.78,32
PASS_COMPLETION_PERCENTAGE,87.9,97
PROGRESSIVE_PASSES,2.16,5
PROGRESSIVE CARRIES,3.44,22
DRIBBLES_COMPLETED,0.69,44
TOUCHES_IN_AREA,1.57,61
PROGRESSIVE_PASSES_RECIEVED,1.77,36
PRESSURES,14.23,71
TACKLES,2.85,85
INTERCEPTIONS,1.08,9
BLOCKS,1.86,51
CLEARANCES,1.08,3
AERIAL_DUELS_WON,0.79,26
