Firpo,Junior,Leeds United
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,79
NON_PEN_XG,0.10,91
TOTAL_SHOTS,0.56,49
ASSISTS,0.08,53
XA,0.10,71
NON_PEN_XG+XA,0.20,82
SHOT_CREATIONS,2.39,84
PASSES_ATTEMPTED,59.50,77
PASS_COMPLETION_PERCENTAGE,85.3,91
PROGRESSIVE_PASSES,3.90,62
PROGRESSIVE CARRIES,6.13,81
DRIBBLES_COMPLETED,0.64,39
TOUCHES_IN_AREA,2.79,89
PROGRESSIVE_PASSES_RECIEVED,2.95,77
PRESSURES,15.53,83
TACKLES,2.63,81
INTERCEPTIONS,1.75,62
BLOCKS,1.67,34
CLEARANCES,1.99,33
AERIAL_DUELS_WON,1.75,82
