Dallas,Stuart,Leeds United
AM,FB,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,93
NON_PEN_XG,0.10,91
TOTAL_SHOTS,1.19,93
ASSISTS,0.07,49
XA,0.07,39
NON_PEN_XG+XA,0.16,73
SHOT_CREATIONS,2.22,79
PASSES_ATTEMPTED,51.83,47
PASS_COMPLETION_PERCENTAGE,81.1,73
PROGRESSIVE_PASSES,3.94,63
PROGRESSIVE CARRIES,4.56,52
DRIBBLES_COMPLETED,0.60,36
TOUCHES_IN_AREA,1.36,50
PROGRESSIVE_PASSES_RECIEVED,2.51,67
PRESSURES,15.32,79
TACKLES,1.84,39
INTERCEPTIONS,1.82,67
BLOCKS,1.31,9
CLEARANCES,1.89,28
AERIAL_DUELS_WON,1.10,44
