Meslier,Illan,Leeds United
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.02,51
GOALS_CONCEDED,1.54,35
SAVE_PERCENTAGE,73.2,80
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.26,14
PENALTY_SAVE_PERCENTAGE,12.5,52
CLEAN_SHEET_PERCENTAGE,25.6,50
TOUCHES,42.95,87
LAUNCH_PERCENTAGE,31.2,18
GOAL_KICKS,8.05,72
AVG_GOAL_KICK_DISTANCE,35.5,18
CROSSES_STOPPED_PERCENTAGE,13.4,99
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.77,69
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.3,44
