James,Daniel,Leeds United
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,41
NON_PEN_XG,0.20,49
TOTAL_SHOTS,1.84,42
ASSISTS,0.11,23
XA,0.11,13
NON_PEN_XG+XA,0.31,27
SHOT_CREATIONS,1.99,7
PASSES_ATTEMPTED,25.13,4
PASS_COMPLETION_PERCENTAGE,72.5,28
PROGRESSIVE_PASSES,2.29,21
PROGRESSIVE CARRIES,5.74,45
DRIBBLES_COMPLETED,0.92,15
TOUCHES_IN_AREA,4.40,61
PROGRESSIVE_PASSES_RECIEVED,6.08,47
PRESSURES,19.47,77
TACKLES,1.45,59
INTERCEPTIONS,0.92,52
BLOCKS,0.92,22
CLEARANCES,0.61,59
AERIAL_DUELS_WON,0.77,59
