Struijk,Pascal,Leeds United
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,43
NON_PEN_XG,0.08,87
TOTAL_SHOTS,0.51,54
ASSISTS,0.00,28
XA,0.01,39
NON_PEN_XG+XA,0.09,80
SHOT_CREATIONS,0.68,68
PASSES_ATTEMPTED,53.82,52
PASS_COMPLETION_PERCENTAGE,87.2,54
PROGRESSIVE_PASSES,2.54,48
PROGRESSIVE CARRIES,1.35,18
DRIBBLES_COMPLETED,0.14,28
TOUCHES_IN_AREA,0.71,39
PROGRESSIVE_PASSES_RECIEVED,0.44,89
PRESSURES,17.50,99
TACKLES,2.71,98
INTERCEPTIONS,2.17,77
BLOCKS,2.37,96
CLEARANCES,3.89,17
AERIAL_DUELS_WON,2.13,32
