van Dijk,Virgil,Liverpool
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,62
NON_PEN_XG,0.07,85
TOTAL_SHOTS,1.00,97
ASSISTS,0.05,81
XA,0.01,21
NON_PEN_XG+XA,0.08,71
SHOT_CREATIONS,0.63,62
PASSES_ATTEMPTED,73.47,95
PASS_COMPLETION_PERCENTAGE,92.6,94
PROGRESSIVE_PASSES,3.21,70
PROGRESSIVE CARRIES,3.26,67
DRIBBLES_COMPLETED,0.05,8
TOUCHES_IN_AREA,1.16,81
PROGRESSIVE_PASSES_RECIEVED,0.16,51
PRESSURES,3.11,1
TACKLES,0.79,5
INTERCEPTIONS,1.16,8
BLOCKS,1.16,6
CLEARANCES,5.05,51
AERIAL_DUELS_WON,3.74,89
