Alexander-Arnold,Trent,Liverpool
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,80
NON_PEN_XG,0.08,87
TOTAL_SHOTS,1.56,97
ASSISTS,0.33,98
XA,0.32,99
NON_PEN_XG+XA,0.40,99
SHOT_CREATIONS,4.34,99
PASSES_ATTEMPTED,87.92,99
PASS_COMPLETION_PERCENTAGE,75.3,33
PROGRESSIVE_PASSES,8.61,99
PROGRESSIVE CARRIES,6.31,83
DRIBBLES_COMPLETED,0.99,64
TOUCHES_IN_AREA,2.76,88
PROGRESSIVE_PASSES_RECIEVED,3.94,93
PRESSURES,9.03,9
TACKLES,1.58,21
INTERCEPTIONS,2.21,88
BLOCKS,1.25,6
CLEARANCES,1.99,33
AERIAL_DUELS_WON,0.44,8
