Minamino,Takumi,Liverpool
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.34,82
NON_PEN_XG,0.22,57
TOTAL_SHOTS,1.76,36
ASSISTS,0.00,1
XA,0.05,1
NON_PEN_XG+XA,0.27,19
SHOT_CREATIONS,1.68,2
PASSES_ATTEMPTED,33.53,27
PASS_COMPLETION_PERCENTAGE,77.7,59
PROGRESSIVE_PASSES,2.35,22
PROGRESSIVE CARRIES,3.61,5
DRIBBLES_COMPLETED,0.76,7
TOUCHES_IN_AREA,2.86,21
PROGRESSIVE_PASSES_RECIEVED,5.46,33
PRESSURES,20.25,83
TACKLES,1.09,30
INTERCEPTIONS,0.84,45
BLOCKS,1.01,32
CLEARANCES,1.09,89
AERIAL_DUELS_WON,0.84,66
