Fabinho,,Liverpool
CM,DM,FB
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,30
NON_PEN_XG,0.03,24
TOTAL_SHOTS,0.45,13
ASSISTS,0.03,24
XA,0.03,15
NON_PEN_XG+XA,0.06,13
SHOT_CREATIONS,1.14,15
PASSES_ATTEMPTED,64.77,83
PASS_COMPLETION_PERCENTAGE,90.2,94
PROGRESSIVE_PASSES,4.46,65
PROGRESSIVE CARRIES,5.35,81
DRIBBLES_COMPLETED,0.25,2
TOUCHES_IN_AREA,0.56,16
PROGRESSIVE_PASSES_RECIEVED,1.23,31
PRESSURES,14.72,18
TACKLES,2.59,72
INTERCEPTIONS,2.26,90
BLOCKS,1.51,47
CLEARANCES,2.98,96
AERIAL_DUELS_WON,2.20,87
