Alcántara,Thiago,Liverpool
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,75
NON_PEN_XG,0.10,76
TOTAL_SHOTS,1.29,77
ASSISTS,0.03,26
XA,0.11,80
NON_PEN_XG+XA,0.21,81
SHOT_CREATIONS,3.03,91
PASSES_ATTEMPTED,80.57,96
PASS_COMPLETION_PERCENTAGE,88.8,87
PROGRESSIVE_PASSES,9.36,99
PROGRESSIVE CARRIES,7.78,95
DRIBBLES_COMPLETED,0.92,61
TOUCHES_IN_AREA,1.38,63
PROGRESSIVE_PASSES_RECIEVED,2.01,61
PRESSURES,21.06,77
TACKLES,3.53,95
INTERCEPTIONS,1.91,75
BLOCKS,1.29,25
CLEARANCES,1.12,28
AERIAL_DUELS_WON,1.88,77
