Alisson,,Liverpool
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.08,80
GOALS_CONCEDED,0.90,91
SAVE_PERCENTAGE,72.5,74
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,44.9,94
TOUCHES,38.88,73
LAUNCH_PERCENTAGE,20.6,1
GOAL_KICKS,5.12,5
AVG_GOAL_KICK_DISTANCE,36.7,19
CROSSES_STOPPED_PERCENTAGE,10.7,93
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.41,97
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,17.5,96
