Tsimikas,Kostas,Liverpool
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,18
TOTAL_SHOTS,0.56,49
ASSISTS,0.14,78
XA,0.25,98
NON_PEN_XG+XA,0.27,92
SHOT_CREATIONS,3.51,98
PASSES_ATTEMPTED,60.51,80
PASS_COMPLETION_PERCENTAGE,71.2,11
PROGRESSIVE_PASSES,4.77,83
PROGRESSIVE CARRIES,7.86,95
DRIBBLES_COMPLETED,0.98,64
TOUCHES_IN_AREA,1.54,60
PROGRESSIVE_PASSES_RECIEVED,5.05,97
PRESSURES,15.16,78
TACKLES,2.53,75
INTERCEPTIONS,1.97,78
BLOCKS,1.26,7
CLEARANCES,2.81,72
AERIAL_DUELS_WON,1.12,46
