Jones,Curtis,Liverpool
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,88
NON_PEN_XG,0.11,81
TOTAL_SHOTS,1.58,86
ASSISTS,0.45,99
XA,0.16,91
NON_PEN_XG+XA,0.26,88
SHOT_CREATIONS,2.48,77
PASSES_ATTEMPTED,63.00,79
PASS_COMPLETION_PERCENTAGE,91.9,97
PROGRESSIVE_PASSES,3.00,24
PROGRESSIVE CARRIES,9.00,99
DRIBBLES_COMPLETED,1.28,84
TOUCHES_IN_AREA,2.10,85
PROGRESSIVE_PASSES_RECIEVED,4.88,93
PRESSURES,20.25,71
TACKLES,1.35,8
INTERCEPTIONS,1.20,22
BLOCKS,1.28,24
CLEARANCES,0.68,8
AERIAL_DUELS_WON,0.60,17
