Milner,James,Liverpool
CM,FB,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,27
TOTAL_SHOTS,1.07,62
ASSISTS,0.13,77
XA,0.16,91
NON_PEN_XG+XA,0.19,78
SHOT_CREATIONS,2.01,60
PASSES_ATTEMPTED,74.69,93
PASS_COMPLETION_PERCENTAGE,83.6,49
PROGRESSIVE_PASSES,7.15,97
PROGRESSIVE CARRIES,4.90,73
DRIBBLES_COMPLETED,0.44,17
TOUCHES_IN_AREA,1.88,80
PROGRESSIVE_PASSES_RECIEVED,3.14,85
PRESSURES,17.51,43
TACKLES,2.64,73
INTERCEPTIONS,2.13,87
BLOCKS,2.38,96
CLEARANCES,1.95,77
AERIAL_DUELS_WON,1.82,75
