Phillips,Nathaniel,Liverpool
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,64
NON_PEN_XG,0.07,77
TOTAL_SHOTS,0.82,88
ASSISTS,0.06,84
XA,0.02,69
NON_PEN_XG+XA,0.08,76
SHOT_CREATIONS,0.60,58
PASSES_ATTEMPTED,62.18,75
PASS_COMPLETION_PERCENTAGE,87.4,56
PROGRESSIVE_PASSES,3.96,85
PROGRESSIVE CARRIES,2.69,52
DRIBBLES_COMPLETED,0.16,36
TOUCHES_IN_AREA,1.21,85
PROGRESSIVE_PASSES_RECIEVED,0.33,83
PRESSURES,11.99,85
TACKLES,1.10,19
INTERCEPTIONS,2.03,71
BLOCKS,1.65,52
CLEARANCES,8.80,99
AERIAL_DUELS_WON,6.10,99
